Date,Invoice,Customer,Product,Category,Qty,Unit,Total,GST%,City
4/18/2026,INV1288,JSW Steel 58,Wire Rope,Safety,5,5282,26410,18,Gurugram
4/19/2026,INV1289,Jindal Steel 58,Turnbuckle,Safety,11,1943,21373,18,Noida
4/20/2026,INV1290,BHEL 58,Hook,Rigging,12,3769,45228,18,Gurugram
4/21/2026,INV1291,Tata Steel 59,Chain Pulley Block,Lifting,8,3689,29512,18,Faridabad
4/22/2026,INV1292,Larsen & Toubro 59,Shackle,Rigging,16,1315,21040,18,Jaipur
4/23/2026,INV1293,JSW Steel 59,Turnbuckle,Safety,3,6472,19416,18,Gurugram
4/24/2026,INV1294,Jindal Steel 59,Chain Pulley Block,Lifting,13,960,12480,18,Gurugram
4/25/2026,INV1295,BHEL 59,Chain Sling,Safety,3,1868,5604,18,Noida
4/26/2026,INV1296,Tata Steel 60,Chain Pulley Block,Rigging,16,5177,82832,18,Faridabad
4/27/2026,INV1297,Larsen & Toubro 60,Hook,Lifting,8,2273,18184,18,Gurugram
4/28/2026,INV1298,JSW Steel 60,Eye Bolt,Safety,12,5560,66720,18,Noida
4/29/2026,INV1299,Jindal Steel 60,Chain Pulley Block,Safety,6,2428,14568,18,Gurugram
4/30/2026,INV1300,BHEL 60,Wire Rope,Lifting,12,593,7116,18,Delhi
5/1/2026,INV1301,Tata Steel 61,Hook,Rigging,7,4964,34748,18,Faridabad
5/2/2026,INV1302,Larsen & Toubro 61,Turnbuckle,Safety,7,7665,53655,18,Gurugram
5/3/2026,INV1303,JSW Steel 61,Eye Bolt,Rigging,9,2794,25146,18,Noida
5/4/2026,INV1304,Jindal Steel 61,Chain Sling,Safety,12,2450,29400,18,Delhi
5/5/2026,INV1305,BHEL 61,Eye Bolt,Rigging,13,7769,100997,18,Jaipur
5/6/2026,INV1306,Tata Steel 62,Wire Rope,Safety,13,3736,48568,18,Gurugram
5/7/2026,INV1307,Larsen & Toubro 62,Chain Sling,Lifting,9,5059,45531,18,Noida
5/8/2026,INV1308,JSW Steel 62,Web Sling,Lifting,5,846,4230,18,Jaipur
5/9/2026,INV1309,Jindal Steel 62,Chain Sling,Safety,18,3432,61776,18,Gurugram
5/10/2026,INV1310,BHEL 62,Hook,Lifting,12,7522,90264,18,Delhi
5/11/2026,INV1311,Tata Steel 63,Web Sling,Lifting,6,6161,36966,18,Jaipur
5/12/2026,INV1312,Larsen & Toubro 63,Web Sling,Lifting,2,7348,14696,18,Gurugram
5/13/2026,INV1313,JSW Steel 63,Turnbuckle,Safety,1,4563,4563,18,Delhi
5/14/2026,INV1314,Jindal Steel 63,Chain Pulley Block,Safety,17,5023,85391,18,Faridabad
5/15/2026,INV1315,BHEL 63,Hook,Lifting,7,1047,7329,18,Jaipur
5/16/2026,INV1316,Tata Steel 64,Turnbuckle,Rigging,10,3344,33440,18,Gurugram
5/17/2026,INV1317,Larsen & Toubro 64,Turnbuckle,Safety,4,4194,16776,18,Delhi
5/18/2026,INV1318,JSW Steel 64,Wire Rope,Lifting,10,5718,57180,18,Gurugram
5/19/2026,INV1319,Jindal Steel 64,Turnbuckle,Lifting,11,3339,36729,18,Noida
5/20/2026,INV1320,BHEL 64,Eye Bolt,Safety,11,4565,50215,18,Faridabad
5/21/2026,INV1321,Tata Steel 65,Wire Rope,Lifting,3,6737,20211,18,Gurugram
5/22/2026,INV1322,Larsen & Toubro 65,Chain Pulley Block,Lifting,6,7992,47952,18,Faridabad
5/23/2026,INV1323,JSW Steel 65,Chain Pulley Block,Safety,10,7757,77570,18,Delhi
5/24/2026,INV1324,Jindal Steel 65,Web Sling,Safety,17,3319,56423,18,Jaipur
5/25/2026,INV1325,BHEL 65,Chain Pulley Block,Safety,19,7755,147345,18,Gurugram
5/26/2026,INV1326,Tata Steel 66,Web Sling,Rigging,10,7213,72130,18,Gurugram
5/27/2026,INV1327,Larsen & Toubro 66,Wire Rope,Safety,19,1744,33136,18,Jaipur
5/28/2026,INV1328,JSW Steel 66,Hook,Lifting,10,5521,55210,18,Delhi
5/29/2026,INV1329,Jindal Steel 66,Shackle,Safety,8,2602,20816,18,Delhi
5/30/2026,INV1330,BHEL 66,Chain Sling,Rigging,8,1781,14248,18,Gurugram
5/31/2026,INV1331,Tata Steel 67,Turnbuckle,Rigging,3,3136,9408,18,Noida
6/1/2026,INV1332,Larsen & Toubro 67,Wire Rope,Rigging,15,1530,22950,18,Noida
6/2/2026,INV1333,JSW Steel 67,Shackle,Rigging,8,649,5192,18,Jaipur
6/3/2026,INV1334,Jindal Steel 67,Chain Pulley Block,Lifting,9,6114,55026,18,Faridabad
6/4/2026,INV1335,BHEL 67,Hook,Lifting,16,1559,24944,18,Gurugram
6/5/2026,INV1336,Tata Steel 68,Hook,Rigging,13,5720,74360,18,Faridabad
6/6/2026,INV1337,Larsen & Toubro 68,Shackle,Lifting,7,6574,46018,18,Faridabad
6/7/2026,INV1338,JSW Steel 68,Web Sling,Rigging,20,1849,36980,18,Noida
6/8/2026,INV1339,Jindal Steel 68,Shackle,Lifting,4,3139,12556,18,Noida
6/9/2026,INV1340,BHEL 68,Eye Bolt,Rigging,9,2090,18810,18,Delhi
6/10/2026,INV1341,Tata Steel 69,Wire Rope,Rigging,9,3768,33912,18,Faridabad
6/11/2026,INV1342,Larsen & Toubro 69,Shackle,Rigging,3,4187,12561,18,Gurugram
6/12/2026,INV1343,JSW Steel 69,Wire Rope,Rigging,10,5024,50240,18,Delhi
6/13/2026,INV1344,Jindal Steel 69,Chain Pulley Block,Lifting,13,622,8086,18,Faridabad
6/14/2026,INV1345,BHEL 69,Web Sling,Lifting,16,3072,49152,18,Jaipur
6/15/2026,INV1346,Tata Steel 70,Hook,Safety,17,2827,48059,18,Gurugram
6/16/2026,INV1347,Larsen & Toubro 70,Shackle,Safety,4,5390,21560,18,Gurugram
6/17/2026,INV1348,JSW Steel 70,Chain Pulley Block,Safety,9,869,7821,18,Faridabad
6/18/2026,INV1349,Jindal Steel 70,Web Sling,Rigging,17,4470,75990,18,Delhi
6/19/2026,INV1350,BHEL 70,Chain Sling,Rigging,20,6906,138120,18,Faridabad
6/20/2026,INV1351,Tata Steel 71,Chain Sling,Rigging,17,2864,48688,18,Gurugram
6/21/2026,INV1352,Larsen & Toubro 71,Turnbuckle,Rigging,12,3672,44064,18,Faridabad
6/22/2026,INV1353,JSW Steel 71,Chain Pulley Block,Lifting,9,3354,30186,18,Faridabad
6/23/2026,INV1354,Jindal Steel 71,Chain Sling,Lifting,16,1007,16112,18,Delhi
6/24/2026,INV1355,BHEL 71,Chain Sling,Rigging,13,6871,89323,18,Delhi
6/25/2026,INV1356,Tata Steel 72,Wire Rope,Lifting,15,3576,53640,18,Jaipur
6/26/2026,INV1357,Larsen & Toubro 72,Chain Pulley Block,Lifting,19,862,16378,18,Noida
6/27/2026,INV1358,JSW Steel 72,Wire Rope,Lifting,20,1776,35520,18,Gurugram
6/28/2026,INV1359,Jindal Steel 72,Chain Pulley Block,Lifting,14,4307,60298,18,Delhi
6/29/2026,INV1360,BHEL 72,Turnbuckle,Safety,3,5490,16470,18,Faridabad
1/1/2026,INV1361,Tata Steel 73,Eye Bolt,Safety,13,6648,86424,18,Noida
1/2/2026,INV1362,Larsen & Toubro 73,Turnbuckle,Lifting,8,4619,36952,18,Gurugram
1/3/2026,INV1363,JSW Steel 73,Hook,Rigging,8,728,5824,18,Jaipur
1/4/2026,INV1364,Jindal Steel 73,Turnbuckle,Safety,3,3743,11229,18,Gurugram
1/5/2026,INV1365,BHEL 73,Chain Pulley Block,Safety,14,7014,98196,18,Faridabad
1/6/2026,INV1366,Tata Steel 74,Turnbuckle,Lifting,4,6293,25172,18,Delhi
1/7/2026,INV1367,Larsen & Toubro 74,Hook,Safety,19,5419,102961,18,Jaipur
1/8/2026,INV1368,JSW Steel 74,Chain Pulley Block,Rigging,20,6266,125320,18,Noida
1/9/2026,INV1369,Jindal Steel 74,Eye Bolt,Lifting,15,3714,55710,18,Gurugram
1/10/2026,INV1370,BHEL 74,Turnbuckle,Lifting,11,3777,41547,18,Jaipur
1/11/2026,INV1371,Tata Steel 75,Turnbuckle,Safety,16,1568,25088,18,Jaipur
1/12/2026,INV1372,Larsen & Toubro 75,Eye Bolt,Safety,9,788,7092,18,Gurugram
1/13/2026,INV1373,JSW Steel 75,Chain Sling,Rigging,11,6898,75878,18,Faridabad
1/14/2026,INV1374,Jindal Steel 75,Shackle,Safety,13,4319,56147,18,Delhi
1/15/2026,INV1375,BHEL 75,Wire Rope,Rigging,1,539,539,18,Noida
1/16/2026,INV1376,Tata Steel 76,Wire Rope,Rigging,20,6488,129760,18,Faridabad
1/17/2026,INV1377,Larsen & Toubro 76,Wire Rope,Rigging,6,2113,12678,18,Faridabad
1/18/2026,INV1378,JSW Steel 76,Web Sling,Rigging,8,5699,45592,18,Delhi
1/19/2026,INV1379,Jindal Steel 76,Wire Rope,Lifting,20,7724,154480,18,Gurugram
1/20/2026,INV1380,BHEL 76,Turnbuckle,Rigging,13,3231,42003,18,Jaipur
1/21/2026,INV1381,Tata Steel 77,Wire Rope,Lifting,5,3283,16415,18,Jaipur
1/22/2026,INV1382,Larsen & Toubro 77,Eye Bolt,Rigging,19,676,12844,18,Noida
1/23/2026,INV1383,JSW Steel 77,Web Sling,Safety,4,7706,30824,18,Faridabad
1/24/2026,INV1384,Jindal Steel 77,Turnbuckle,Lifting,2,5598,11196,18,Gurugram
1/25/2026,INV1385,BHEL 77,Hook,Safety,7,6454,45178,18,Gurugram
1/26/2026,INV1386,Tata Steel 78,Web Sling,Rigging,10,3703,37030,18,Gurugram
1/27/2026,INV1387,Larsen & Toubro 78,Chain Pulley Block,Rigging,13,7199,93587,18,Delhi
1/28/2026,INV1388,JSW Steel 78,Chain Sling,Safety,10,6066,60660,18,Jaipur
1/29/2026,INV1389,Jindal Steel 78,Shackle,Safety,4,3992,15968,18,Delhi
1/30/2026,INV1390,BHEL 78,Wire Rope,Rigging,12,5005,60060,18,Noida
1/31/2026,INV1391,Tata Steel 79,Shackle,Lifting,19,5742,109098,18,Noida
2/1/2026,INV1392,Larsen & Toubro 79,Shackle,Lifting,4,1473,5892,18,Jaipur
2/2/2026,INV1393,JSW Steel 79,Wire Rope,Safety,19,3575,67925,18,Gurugram
2/3/2026,INV1394,Jindal Steel 79,Eye Bolt,Rigging,9,5439,48951,18,Noida
2/4/2026,INV1395,BHEL 79,Wire Rope,Safety,18,5364,96552,18,Faridabad
2/5/2026,INV1396,Tata Steel 80,Shackle,Lifting,5,3020,15100,18,Faridabad
2/6/2026,INV1397,Larsen & Toubro 80,Web Sling,Lifting,17,4985,84745,18,Jaipur
2/7/2026,INV1398,JSW Steel 80,Chain Sling,Rigging,19,3831,72789,18,Gurugram
2/8/2026,INV1399,Jindal Steel 80,Turnbuckle,Lifting,16,7907,126512,18,Jaipur
2/9/2026,INV1400,BHEL 80,Chain Sling,Safety,4,1636,6544,18,Faridabad
2/10/2026,INV1401,Tata Steel 81,Chain Pulley Block,Safety,15,2685,40275,18,Noida
2/11/2026,INV1402,Larsen & Toubro 81,Chain Sling,Safety,13,4245,55185,18,Faridabad
2/12/2026,INV1403,JSW Steel 81,Hook,Rigging,9,3617,32553,18,Jaipur
2/13/2026,INV1404,Jindal Steel 81,Hook,Rigging,11,4053,44583,18,Gurugram
2/14/2026,INV1405,BHEL 81,Shackle,Rigging,14,3848,53872,18,Jaipur
2/15/2026,INV1406,Tata Steel 82,Web Sling,Rigging,19,6019,114361,18,Noida
2/16/2026,INV1407,Larsen & Toubro 82,Hook,Safety,5,1397,6985,18,Noida
2/17/2026,INV1408,JSW Steel 82,Shackle,Lifting,4,4461,17844,18,Gurugram
2/18/2026,INV1409,Jindal Steel 82,Wire Rope,Rigging,14,2960,41440,18,Noida
2/19/2026,INV1410,BHEL 82,Chain Pulley Block,Rigging,3,6627,19881,18,Faridabad
2/20/2026,INV1411,Tata Steel 83,Turnbuckle,Safety,9,2676,24084,18,Faridabad
2/21/2026,INV1412,Larsen & Toubro 83,Shackle,Safety,14,4131,57834,18,Jaipur
2/22/2026,INV1413,JSW Steel 83,Turnbuckle,Rigging,11,4048,44528,18,Faridabad
2/23/2026,INV1414,Jindal Steel 83,Hook,Rigging,11,1484,16324,18,Delhi
2/24/2026,INV1415,BHEL 83,Web Sling,Safety,20,4517,90340,18,Gurugram
2/25/2026,INV1416,Tata Steel 84,Hook,Lifting,18,2306,41508,18,Noida
2/26/2026,INV1417,Larsen & Toubro 84,Turnbuckle,Rigging,8,1577,12616,18,Noida
2/27/2026,INV1418,JSW Steel 84,Chain Pulley Block,Safety,19,3805,72295,18,Gurugram
2/28/2026,INV1419,Jindal Steel 84,Hook,Safety,11,1125,12375,18,Gurugram
3/1/2026,INV1420,BHEL 84,Eye Bolt,Rigging,19,2488,47272,18,Noida
3/2/2026,INV1421,Tata Steel 85,Eye Bolt,Lifting,10,5921,59210,18,Gurugram
3/3/2026,INV1422,Larsen & Toubro 85,Web Sling,Lifting,2,4388,8776,18,Gurugram
3/4/2026,INV1423,JSW Steel 85,Wire Rope,Rigging,11,2704,29744,18,Faridabad
3/5/2026,INV1424,Jindal Steel 85,Hook,Safety,17,6234,105978,18,Gurugram
3/6/2026,INV1425,BHEL 85,Hook,Rigging,1,7969,7969,18,Jaipur
3/7/2026,INV1426,Tata Steel 86,Turnbuckle,Safety,14,7576,106064,18,Gurugram
3/8/2026,INV1427,Larsen & Toubro 86,Web Sling,Lifting,17,6371,108307,18,Delhi
3/9/2026,INV1428,JSW Steel 86,Hook,Lifting,18,831,14958,18,Gurugram
3/10/2026,INV1429,Jindal Steel 86,Chain Pulley Block,Safety,8,3939,31512,18,Faridabad
3/11/2026,INV1430,BHEL 86,Web Sling,Safety,18,7553,135954,18,Jaipur
3/12/2026,INV1431,Tata Steel 87,Eye Bolt,Lifting,16,1112,17792,18,Gurugram
3/13/2026,INV1432,Larsen & Toubro 87,Web Sling,Lifting,10,7222,72220,18,Gurugram
3/14/2026,INV1433,JSW Steel 87,Eye Bolt,Lifting,15,4853,72795,18,Noida
3/15/2026,INV1434,Jindal Steel 87,Chain Pulley Block,Lifting,13,5349,69537,18,Faridabad
3/16/2026,INV1435,BHEL 87,Hook,Safety,6,2968,17808,18,Delhi
3/17/2026,INV1436,Tata Steel 88,Shackle,Safety,3,6647,19941,18,Delhi
3/18/2026,INV1437,Larsen & Toubro 88,Shackle,Safety,19,1590,30210,18,Faridabad
3/19/2026,INV1438,JSW Steel 88,Chain Pulley Block,Lifting,13,4490,58370,18,Delhi
3/20/2026,INV1439,Jindal Steel 88,Turnbuckle,Lifting,20,6192,123840,18,Jaipur
3/21/2026,INV1440,BHEL 88,Web Sling,Rigging,1,6782,6782,18,Faridabad
3/22/2026,INV1441,Tata Steel 89,Hook,Lifting,17,895,15215,18,Noida
3/23/2026,INV1442,Larsen & Toubro 89,Hook,Safety,19,2422,46018,18,Faridabad
3/24/2026,INV1443,JSW Steel 89,Hook,Lifting,9,2936,26424,18,Noida
3/25/2026,INV1444,Jindal Steel 89,Shackle,Rigging,17,6300,107100,18,Faridabad
3/26/2026,INV1445,BHEL 89,Wire Rope,Lifting,7,7684,53788,18,Delhi
3/27/2026,INV1446,Tata Steel 90,Chain Pulley Block,Safety,7,4706,32942,18,Faridabad
3/28/2026,INV1447,Larsen & Toubro 90,Chain Sling,Rigging,13,7157,93041,18,Delhi
3/29/2026,INV1448,JSW Steel 90,Wire Rope,Rigging,3,7451,22353,18,Delhi
3/30/2026,INV1449,Jindal Steel 90,Wire Rope,Lifting,11,1404,15444,18,Faridabad
3/31/2026,INV1450,BHEL 90,Shackle,Safety,3,1121,3363,18,Jaipur
4/1/2026,INV1451,Tata Steel 91,Turnbuckle,Lifting,5,1556,7780,18,Delhi
4/2/2026,INV1452,Larsen & Toubro 91,Wire Rope,Lifting,12,1766,21192,18,Gurugram
4/3/2026,INV1453,JSW Steel 91,Wire Rope,Rigging,1,7249,7249,18,Delhi
4/4/2026,INV1454,Jindal Steel 91,Chain Sling,Rigging,18,2695,48510,18,Noida
4/5/2026,INV1455,BHEL 91,Chain Sling,Lifting,7,1732,12124,18,Delhi
4/6/2026,INV1456,Tata Steel 92,Turnbuckle,Safety,17,7368,125256,18,Noida
4/7/2026,INV1457,Larsen & Toubro 92,Shackle,Lifting,11,4621,50831,18,Delhi
4/8/2026,INV1458,JSW Steel 92,Wire Rope,Lifting,15,4716,70740,18,Jaipur
4/9/2026,INV1459,Jindal Steel 92,Shackle,Lifting,12,4152,49824,18,Delhi
4/10/2026,INV1460,BHEL 92,Turnbuckle,Rigging,8,3410,27280,18,Delhi
4/11/2026,INV1461,Tata Steel 93,Chain Pulley Block,Lifting,9,3980,35820,18,Gurugram
4/12/2026,INV1462,Larsen & Toubro 93,Wire Rope,Lifting,8,6308,50464,18,Faridabad
4/13/2026,INV1463,JSW Steel 93,Wire Rope,Rigging,14,1629,22806,18,Jaipur
4/14/2026,INV1464,Jindal Steel 93,Chain Pulley Block,Safety,5,3821,19105,18,Gurugram
4/15/2026,INV1465,BHEL 93,Shackle,Safety,1,5149,5149,18,Jaipur
4/16/2026,INV1466,Tata Steel 94,Wire Rope,Safety,18,2646,47628,18,Faridabad
4/17/2026,INV1467,Larsen & Toubro 94,Wire Rope,Lifting,14,3019,42266,18,Noida
4/18/2026,INV1468,JSW Steel 94,Shackle,Safety,9,2081,18729,18,Noida
4/19/2026,INV1469,Jindal Steel 94,Chain Sling,Safety,3,7155,21465,18,Faridabad
4/20/2026,INV1470,BHEL 94,Hook,Lifting,7,6191,43337,18,Delhi
4/21/2026,INV1471,Tata Steel 95,Chain Sling,Lifting,1,3645,3645,18,Faridabad
4/22/2026,INV1472,Larsen & Toubro 95,Chain Sling,Lifting,18,972,17496,18,Faridabad
4/23/2026,INV1473,JSW Steel 95,Eye Bolt,Rigging,12,4003,48036,18,Jaipur
4/24/2026,INV1474,Jindal Steel 95,Web Sling,Safety,4,6794,27176,18,Delhi
4/25/2026,INV1475,BHEL 95,Hook,Rigging,19,928,17632,18,Faridabad
4/26/2026,INV1476,Tata Steel 96,Shackle,Rigging,19,5276,100244,18,Delhi
4/27/2026,INV1477,Larsen & Toubro 96,Wire Rope,Rigging,7,6253,43771,18,Noida
4/28/2026,INV1478,JSW Steel 96,Turnbuckle,Safety,3,4653,13959,18,Delhi
4/29/2026,INV1479,Jindal Steel 96,Wire Rope,Safety,15,4765,71475,18,Noida
4/30/2026,INV1480,BHEL 96,Turnbuckle,Lifting,4,7605,30420,18,Jaipur
5/1/2026,INV1481,Tata Steel 97,Eye Bolt,Safety,7,4648,32536,18,Faridabad
5/2/2026,INV1482,Larsen & Toubro 97,Hook,Safety,16,5596,89536,18,Noida
5/3/2026,INV1483,JSW Steel 97,Web Sling,Lifting,9,5100,45900,18,Noida
5/4/2026,INV1484,Jindal Steel 97,Hook,Lifting,16,6772,108352,18,Delhi
5/5/2026,INV1485,BHEL 97,Chain Pulley Block,Safety,18,2424,43632,18,Noida
5/6/2026,INV1486,Tata Steel 98,Shackle,Safety,19,4012,76228,18,Jaipur
5/7/2026,INV1487,Larsen & Toubro 98,Hook,Lifting,1,7568,7568,18,Gurugram
5/8/2026,INV1488,JSW Steel 98,Chain Pulley Block,Lifting,7,1374,9618,18,Noida
5/9/2026,INV1489,Jindal Steel 98,Eye Bolt,Lifting,12,4168,50016,18,Faridabad
5/10/2026,INV1490,BHEL 98,Wire Rope,Rigging,20,4699,93980,18,Noida
5/11/2026,INV1491,Tata Steel 99,Eye Bolt,Safety,16,2880,46080,18,Noida
5/12/2026,INV1492,Larsen & Toubro 99,Eye Bolt,Lifting,1,4096,4096,18,Delhi
5/13/2026,INV1493,JSW Steel 99,Chain Sling,Lifting,15,3140,47100,18,Noida
5/14/2026,INV1494,Jindal Steel 99,Chain Pulley Block,Rigging,6,560,3360,18,Jaipur
5/15/2026,INV1495,BHEL 99,Shackle,Rigging,13,4697,61061,18,Jaipur
5/16/2026,INV1496,Tata Steel 100,Turnbuckle,Lifting,3,6948,20844,18,Jaipur
5/17/2026,INV1497,Larsen & Toubro 100,Eye Bolt,Rigging,9,7277,65493,18,Gurugram
5/18/2026,INV1498,JSW Steel 100,Eye Bolt,Safety,19,6584,125096,18,Jaipur
5/19/2026,INV1499,Jindal Steel 100,Wire Rope,Safety,17,6520,110840,18,Faridabad
5/20/2026,INV1500,BHEL 100,Hook,Rigging,9,7357,66213,18,Delhi
5/21/2026,INV1501,Tata Steel 101,Shackle,Safety,2,3898,7796,18,Noida
5/22/2026,INV1502,Larsen & Toubro 101,Web Sling,Safety,8,6042,48336,18,Delhi
5/23/2026,INV1503,JSW Steel 101,Eye Bolt,Safety,4,6830,27320,18,Noida
5/24/2026,INV1504,Jindal Steel 101,Hook,Lifting,3,3216,9648,18,Faridabad
5/25/2026,INV1505,BHEL 101,Wire Rope,Lifting,6,4506,27036,18,Jaipur
5/26/2026,INV1506,Tata Steel 102,Chain Pulley Block,Safety,8,5690,45520,18,Jaipur
5/27/2026,INV1507,Larsen & Toubro 102,Shackle,Lifting,2,6818,13636,18,Gurugram
5/28/2026,INV1508,JSW Steel 102,Chain Pulley Block,Rigging,10,7459,74590,18,Faridabad
5/29/2026,INV1509,Jindal Steel 102,Chain Sling,Rigging,13,3144,40872,18,Gurugram
5/30/2026,INV1510,BHEL 102,Turnbuckle,Safety,13,873,11349,18,Gurugram
5/31/2026,INV1511,Tata Steel 103,Wire Rope,Lifting,14,918,12852,18,Jaipur
6/1/2026,INV1512,Larsen & Toubro 103,Web Sling,Rigging,16,2254,36064,18,Noida
6/2/2026,INV1513,JSW Steel 103,Chain Pulley Block,Safety,14,2853,39942,18,Faridabad
6/3/2026,INV1514,Jindal Steel 103,Wire Rope,Rigging,2,1286,2572,18,Noida
6/4/2026,INV1515,BHEL 103,Turnbuckle,Safety,6,3568,21408,18,Noida
6/5/2026,INV1516,Tata Steel 104,Turnbuckle,Rigging,10,3347,33470,18,Gurugram
6/6/2026,INV1517,Larsen & Toubro 104,Chain Pulley Block,Lifting,13,5792,75296,18,Jaipur
6/7/2026,INV1518,JSW Steel 104,Wire Rope,Lifting,4,1590,6360,18,Jaipur
6/8/2026,INV1519,Jindal Steel 104,Wire Rope,Rigging,20,5318,106360,18,Jaipur
6/9/2026,INV1520,BHEL 104,Shackle,Safety,9,2806,25254,18,Faridabad
6/10/2026,INV1521,Tata Steel 105,Shackle,Safety,17,2870,48790,18,Jaipur
6/11/2026,INV1522,Larsen & Toubro 105,Web Sling,Safety,9,6255,56295,18,Gurugram
6/12/2026,INV1523,JSW Steel 105,Chain Pulley Block,Rigging,19,5918,112442,18,Gurugram
6/13/2026,INV1524,Jindal Steel 105,Chain Pulley Block,Safety,4,5452,21808,18,Gurugram
6/14/2026,INV1525,BHEL 105,Wire Rope,Safety,20,5360,107200,18,Faridabad
6/15/2026,INV1526,Tata Steel 106,Shackle,Rigging,18,5060,91080,18,Jaipur
6/16/2026,INV1527,Larsen & Toubro 106,Shackle,Rigging,6,7171,43026,18,Delhi
6/17/2026,INV1528,JSW Steel 106,Chain Pulley Block,Rigging,18,3521,63378,18,Faridabad
6/18/2026,INV1529,Jindal Steel 106,Chain Pulley Block,Lifting,17,4883,83011,18,Delhi
6/19/2026,INV1530,BHEL 106,Turnbuckle,Rigging,5,3317,16585,18,Faridabad
6/20/2026,INV1531,Tata Steel 107,Wire Rope,Safety,4,601,2404,18,Noida
6/21/2026,INV1532,Larsen & Toubro 107,Chain Sling,Lifting,2,950,1900,18,Noida
6/22/2026,INV1533,JSW Steel 107,Shackle,Safety,9,2133,19197,18,Gurugram
6/23/2026,INV1534,Jindal Steel 107,Shackle,Safety,5,1562,7810,18,Faridabad
6/24/2026,INV1535,BHEL 107,Chain Sling,Lifting,6,4731,28386,18,Noida
6/25/2026,INV1536,Tata Steel 108,Web Sling,Safety,20,7667,153340,18,Delhi
6/26/2026,INV1537,Larsen & Toubro 108,Chain Pulley Block,Lifting,11,1336,14696,18,Jaipur
6/27/2026,INV1538,JSW Steel 108,Hook,Safety,2,4575,9150,18,Faridabad
6/28/2026,INV1539,Jindal Steel 108,Web Sling,Lifting,5,806,4030,18,Jaipur
6/29/2026,INV1540,BHEL 108,Eye Bolt,Lifting,17,7239,123063,18,Delhi
1/1/2026,INV1541,Tata Steel 109,Shackle,Rigging,6,6756,40536,18,Faridabad
1/2/2026,INV1542,Larsen & Toubro 109,Chain Sling,Rigging,16,7936,126976,18,Gurugram
1/3/2026,INV1543,JSW Steel 109,Shackle,Lifting,17,5040,85680,18,Jaipur
1/4/2026,INV1544,Jindal Steel 109,Chain Pulley Block,Safety,5,5963,29815,18,Faridabad
1/5/2026,INV1545,BHEL 109,Turnbuckle,Safety,12,1157,13884,18,Noida
1/6/2026,INV1546,Tata Steel 110,Chain Pulley Block,Lifting,17,7165,121805,18,Jaipur
1/7/2026,INV1547,Larsen & Toubro 110,Eye Bolt,Rigging,19,2330,44270,18,Faridabad
1/8/2026,INV1548,JSW Steel 110,Turnbuckle,Safety,8,2483,19864,18,Delhi
1/9/2026,INV1549,Jindal Steel 110,Chain Pulley Block,Rigging,15,6023,90345,18,Jaipur
1/10/2026,INV1550,BHEL 110,Hook,Safety,11,4990,54890,18,Jaipur
1/11/2026,INV1551,Tata Steel 111,Chain Pulley Block,Rigging,12,7041,84492,18,Gurugram
1/12/2026,INV1552,Larsen & Toubro 111,Turnbuckle,Lifting,18,1427,25686,18,Noida
1/13/2026,INV1553,JSW Steel 111,Chain Sling,Lifting,9,4725,42525,18,Faridabad
1/14/2026,INV1554,Jindal Steel 111,Wire Rope,Lifting,8,983,7864,18,Jaipur
1/15/2026,INV1555,BHEL 111,Hook,Safety,17,958,16286,18,Jaipur
1/16/2026,INV1556,Tata Steel 112,Wire Rope,Safety,10,6994,69940,18,Faridabad
1/17/2026,INV1557,Larsen & Toubro 112,Wire Rope,Lifting,1,1643,1643,18,Jaipur
1/18/2026,INV1558,JSW Steel 112,Shackle,Rigging,4,7465,29860,18,Jaipur
1/19/2026,INV1559,Jindal Steel 112,Wire Rope,Lifting,11,3227,35497,18,Jaipur
1/20/2026,INV1560,BHEL 112,Turnbuckle,Rigging,12,3640,43680,18,Noida
1/21/2026,INV1561,Tata Steel 113,Shackle,Lifting,10,6229,62290,18,Delhi
1/22/2026,INV1562,Larsen & Toubro 113,Web Sling,Lifting,1,533,533,18,Delhi
1/23/2026,INV1563,JSW Steel 113,Chain Sling,Lifting,12,7821,93852,18,Faridabad
1/24/2026,INV1564,Jindal Steel 113,Shackle,Lifting,2,3536,7072,18,Faridabad
1/25/2026,INV1565,BHEL 113,Chain Pulley Block,Safety,2,4820,9640,18,Delhi
1/26/2026,INV1566,Tata Steel 114,Turnbuckle,Safety,20,7692,153840,18,Faridabad
1/27/2026,INV1567,Larsen & Toubro 114,Web Sling,Rigging,5,5108,25540,18,Jaipur
1/28/2026,INV1568,JSW Steel 114,Shackle,Rigging,3,610,1830,18,Jaipur
1/29/2026,INV1569,Jindal Steel 114,Chain Sling,Rigging,19,4529,86051,18,Gurugram
1/30/2026,INV1570,BHEL 114,Eye Bolt,Lifting,15,4150,62250,18,Noida
1/31/2026,INV1571,Tata Steel 115,Shackle,Lifting,7,1407,9849,18,Faridabad
2/1/2026,INV1572,Larsen & Toubro 115,Chain Sling,Lifting,16,1328,21248,18,Jaipur
2/2/2026,INV1573,JSW Steel 115,Chain Sling,Rigging,13,4705,61165,18,Noida
2/3/2026,INV1574,Jindal Steel 115,Hook,Safety,16,7590,121440,18,Faridabad
2/4/2026,INV1575,BHEL 115,Eye Bolt,Lifting,2,2970,5940,18,Jaipur
2/5/2026,INV1576,Tata Steel 116,Hook,Lifting,1,1694,1694,18,Delhi
